Nº,Nombre,Total.Por mil ‰
714,DALIA,2.161,0.101
715,MARIA PAULA,2.159,0.101
716,AISHA,2.151,0.100
717,PRISCILA,2.151,0.100
718,MARIA MATILDE,2.148,0.100
719,NURIA MARIA,2.144,0.100
720,MARIA ANA,2.143,0.100
721,CARMEN PILAR,2.140,0.100
722,LIDIA MARIA,2.125,0.099
723,NOUR,2.124,0.099
724,DIANA MARIA,2.122,0.099
725,MARIA CELESTE,2.116,0.099
726,LUZ DIVINA,2.112,0.098
727,MARIA RITA,2.112,0.098
728,SAMANTHA,2.108,0.098
729,CELESTE,2.101,0.098
730,KATIA,2.099,0.098
731,MARIA NEUS,2.095,0.098
732,PRIMITIVA,2.095,0.098
733,OIHANA,2.087,0.097
734,MARIOLA,2.086,0.097
735,LUCIA MARIA,2.085,0.097
736,MARIA LLUISA,2.084,0.097
737,AMAL,2.076,0.097
738,ALDARA,2.075,0.097
739,MARIA SORAYA,2.065,0.096
740,ANGELITA,2.063,0.096
741,GINA,2.063,0.096
742,MAXIMA,2.063,0.096
743,FIDELA,2.060,0.096
744,MAXIMINA,2.058,0.096
745,MARIA NOELIA,2.051,0.095
746,EDELMIRA,2.048,0.095
747,IMMACULADA,2.044,0.095
748,ANGELS,2.043,0.095
749,ELADIA,2.042,0.095
750,MARIA SONSOLES,2.035,0.095
751,MIRELLA,2.023,0.094
752,BASILIA,2.020,0.094
753,HAJAR,2.016,0.094
754,NINA,2.012,0.094
755,ANA VANESA,2.011,0.094
756,MARGALIDA,1.996,0.093
757,MAYRA,1.991,0.093
758,SAIDA,1.985,0.092
759,APOLONIA,1.980,0.092
760,JAIONE,1.968,0.092
761,BLANCA NIEVES,1.967,0.092
762,OLIMPIA,1.966,0.092
763,CATALINA MARIA,1.964,0.091
764,ASTRID,1.961,0.091
765,MIGUELA,1.959,0.091
766,MIRYAM,1.953,0.091
767,AMARA,1.943,0.090
768,ISIDRA,1.942,0.090
769,XIANA,1.934,0.090
770,ZORAIDA,1.933,0.090
771,MARIA VERONICA,1.931,0.090
772,GEMMA MARIA,1.922,0.089
773,BERNARDINA,1.920,0.089
774,JUSTINA,1.920,0.089
775,MARISA,1.917,0.089
776,ENCARNACION MARIA,1.910,0.089
777,KARIMA,1.909,0.089
778,DAYANA,1.908,0.089
779,KARINA,1.903,0.089
780,MARIA AFRICA,1.902,0.089
781,GARA,1.901,0.089
782,LUCILA,1.898,0.088
783,CELIA MARIA,1.897,0.088
784,ANA BEATRIZ,1.884,0.088
785,ALAITZ,1.875,0.087
786,AMADA,1.874,0.087
787,AURA,1.871,0.087
788,KARLA,1.863,0.087
789,MARIA ESMERALDA,1.859,0.087
790,MARIA CAROLINA,1.858,0.086
791,ARIANE,1.850,0.086
792,MARIA CANDELAS,1.846,0.086
793,MARIA JOAQUINA,1.842,0.086
794,DOROTEA,1.834,0.085
795,ESPERANZA MACARENA,1.832,0.085
796,IRENE MARIA,1.829,0.085
797,LEA,1.827,0.085
798,NANCY,1.824,0.085
799,ARIANNA,1.823,0.085
800,PRUDENCIA,1.823,0.085
801,MARGARIDA,1.821,0.085
802,ELBA,1.809,0.084
803,SOL,1.798,0.084
